Date,Campaign,Channel,Country,CustomerSegment,MarketingSpend,Impressions,Clicks,Conversions,Revenue,EngagementRate,ConversionRate,ROI,CustomerSatisfaction,BounceRate,AvgSessionTime
2024-01-15,Holiday Blast,Influencer,India,Returning,394.05,9581,153,27,2677.27,0.016,0.176,5.79,89,0.51,275.0
2024-01-16,Referral Program,SEO,India,VIP,1222.38,44513,6835,654,30695.87,0.154,0.096,24.11,63,0.37,73.5
2024-01-17,Holiday Blast,Email,Mexico,Churn Risk,3739.88,195688,25507,5721,1183147.75,0.13,0.224,315.36,77,0.31,271.0
2024-01-18,Summer Sale,Social Media,Mexico,Returning,2295.57,120052,21640,2458,133251.68,0.18,0.114,57.05,91,0.34,145.3
2024-01-19,Referral Program,Affiliate,Russia,Returning,3326.65,181066,2049,311,37889.26,0.011,0.152,10.39,76,0.33,62.4
2024-01-20,Holiday Blast,Social Media,Australia,Churn Risk,1704.09,98353,7023,1079,199252.64,0.071,0.154,115.93,97,0.42,292.4
2024-01-21,Referral Program,SEO,India,Returning,4247.16,127717,13343,1470,136217.42,0.104,0.11,31.07,92,0.22,194.6
2024-01-22,Referral Program,Email,Canada,New,2159.91,47645,2998,694,57396.31,0.063,0.231,25.57,69,0.29,162.2
2024-01-23,Holiday Blast,Affiliate,Spain,New,3946.91,117153,16132,3263,268480.49,0.138,0.202,67.02,84,0.64,129.3
2024-01-24,Referral Program,Influencer,Russia,VIP,2639.53,119679,13379,910,194527.56,0.112,0.068,72.7,95,0.39,80.4
2024-01-25,Summer Sale,Affiliate,Germany,VIP,450.87,19674,2729,145,20685.77,0.139,0.053,44.88,81,0.34,204.2
2024-01-26,Summer Sale,SEO,Spain,Returning,945.16,45025,3758,891,53686.86,0.083,0.237,55.8,89,0.4,60.6
2024-01-27,Summer Sale,Affiliate,Australia,Returning,4093.5,225525,13307,2421,507898.89,0.059,0.182,123.07,92,0.53,173.0
2024-01-28,Summer Sale,Affiliate,Brazil,Returning,1314.34,31181,5627,1294,219051.32,0.18,0.23,165.66,69,0.4,124.3
2024-01-29,New Launch,Social Media,United States,VIP,2986.04,166873,29794,6136,1050771.36,0.179,0.206,350.89,91,0.25,73.6
2024-01-30,Summer Sale,Email,South Africa,VIP,3624.65,160416,1884,132,23228.09,0.012,0.07,5.41,75,0.2,73.4
2024-01-31,Summer Sale,Social Media,United Kingdom,New,2330.32,111099,14873,1410,263217.99,0.134,0.095,111.95,91,0.34,117.9
2024-02-01,Summer Sale,Influencer,France,Returning,3062.02,140807,24127,4379,678867.14,0.171,0.181,220.71,90,0.26,129.3
2024-02-02,Clearance,Social Media,Australia,Churn Risk,1281.25,38129,7430,955,216068.98,0.195,0.129,167.64,73,0.58,244.6
2024-02-03,Clearance,Affiliate,China,VIP,2375.73,102337,10599,943,178169.92,0.104,0.089,74.0,85,0.37,36.6
2024-02-04,New Launch,PPC Ads,Russia,New,2957.07,80090,15111,3638,841360.86,0.189,0.241,283.53,75,0.42,34.2
2024-02-05,Holiday Blast,Email,Mexico,New,3734.78,138662,26853,6517,1418503.78,0.194,0.243,378.81,97,0.38,134.0
2024-02-06,Clearance,Social Media,India,New,3449.21,112709,4756,767,180976.76,0.042,0.161,51.47,64,0.62,183.9
2024-02-07,Summer Sale,Social Media,United Kingdom,New,659.55,29416,5827,454,65390.77,0.198,0.078,98.14,81,0.73,230.0
2024-02-08,Summer Sale,Influencer,India,VIP,2878.96,138476,10843,1178,245094.04,0.078,0.109,84.13,91,0.69,264.1
2024-02-09,Holiday Blast,Influencer,France,Churn Risk,3678.99,148828,15669,3285,568278.93,0.105,0.21,153.47,75,0.62,244.9
2024-02-10,Referral Program,PPC Ads,China,New,3952.32,132481,10778,741,116501.23,0.081,0.069,28.48,66,0.22,155.7
2024-02-11,Referral Program,SEO,Spain,Churn Risk,2538.56,79867,9764,547,20904.48,0.122,0.056,7.23,89,0.69,127.3
2024-02-12,Summer Sale,Affiliate,Germany,New,770.12,31489,4921,458,76502.44,0.156,0.093,98.34,85,0.25,44.0
2024-02-13,New Launch,Email,India,Returning,2266.01,94323,12366,2414,590675.52,0.131,0.195,259.67,72,0.51,117.2
2024-02-14,Clearance,PPC Ads,France,Churn Risk,3242.19,99967,9337,613,21808.8,0.093,0.066,5.73,71,0.78,255.7
2024-02-15,New Launch,PPC Ads,India,New,2875.1,104533,4487,364,30959.45,0.043,0.081,9.77,88,0.53,222.9
2024-02-16,Clearance,Email,Canada,New,2742.73,85565,16379,3236,491735.74,0.191,0.198,178.29,65,0.57,143.3
2024-02-17,Holiday Blast,Social Media,Spain,Churn Risk,1338.27,45820,7055,373,20714.92,0.154,0.053,14.48,90,0.23,41.0
2024-02-18,Holiday Blast,PPC Ads,Canada,Returning,3811.72,183520,18369,1277,176424.56,0.1,0.07,45.28,84,0.48,76.8
2024-02-19,Summer Sale,PPC Ads,Australia,Churn Risk,1905.25,68475,8697,1539,61509.03,0.127,0.177,31.28,78,0.42,199.0
2024-02-20,Referral Program,Affiliate,South Korea,Returning,2161.6,117287,15851,1309,59592.39,0.135,0.083,26.57,72,0.59,37.2
2024-02-21,New Launch,Social Media,Canada,New,2467.37,142143,16963,2165,371348.18,0.119,0.128,149.5,80,0.47,177.3
2024-02-22,Summer Sale,Email,South Korea,Returning,3783.42,134099,25830,5968,436105.93,0.193,0.231,114.27,63,0.24,57.2
2024-02-23,Clearance,Email,Japan,New,367.42,8736,1221,78,7813.62,0.14,0.064,20.27,98,0.71,36.3
2024-02-24,Summer Sale,Affiliate,India,Churn Risk,3644.89,113990,3699,700,117857.2,0.032,0.189,31.33,67,0.73,228.5
2024-02-25,Clearance,Social Media,Canada,New,3600.17,112618,4922,985,204391.09,0.044,0.2,55.77,86,0.79,141.4
2024-02-26,Clearance,Influencer,Mexico,VIP,1676.47,85594,6398,1510,330464.72,0.075,0.236,196.12,73,0.46,232.7
2024-02-27,New Launch,Social Media,Australia,Churn Risk,3091.81,74589,13536,2044,432961.39,0.181,0.151,139.03,68,0.39,271.8
2024-02-28,New Launch,PPC Ads,Mexico,New,1740.05,35555,6471,441,44209.81,0.182,0.068,24.41,60,0.77,286.7
2024-02-29,Referral Program,Influencer,Germany,New,2421.72,109639,10438,1134,116015.23,0.095,0.109,46.91,94,0.6,233.1
2024-03-01,Holiday Blast,Influencer,Australia,Returning,3228.84,166558,4551,677,28882.8,0.027,0.149,7.95,82,0.53,149.2
2024-03-02,Summer Sale,Social Media,South Africa,VIP,3942.96,134204,4327,340,67161.0,0.032,0.079,16.03,70,0.57,57.3
2024-03-03,Referral Program,Influencer,Brazil,New,672.31,32296,769,164,30401.22,0.024,0.213,44.22,95,0.25,52.9
2024-03-04,New Launch,Affiliate,Germany,Returning,3950.57,138154,11110,2361,562849.86,0.08,0.213,141.47,76,0.79,233.4
2024-03-05,Summer Sale,Email,France,VIP,1692.16,39495,6226,1006,124068.82,0.158,0.162,72.32,78,0.74,60.0
2024-03-06,Clearance,Social Media,Mexico,Returning,2122.71,43418,4300,263,14764.8,0.099,0.061,5.96,100,0.27,205.3
2024-03-07,New Launch,Influencer,South Korea,VIP,3060.37,132620,25570,3195,296677.03,0.193,0.125,95.94,63,0.72,90.4
2024-03-08,Summer Sale,Affiliate,Spain,VIP,3863.92,79156,15378,901,203672.39,0.194,0.059,51.71,62,0.52,298.1
2024-03-09,Summer Sale,SEO,France,VIP,630.35,26571,5159,797,134268.76,0.194,0.154,212.01,70,0.62,152.7
2024-03-10,Referral Program,Influencer,Spain,New,2884.16,125093,22669,1339,122936.14,0.181,0.059,41.62,67,0.77,270.4
2024-03-11,Summer Sale,Affiliate,France,New,1985.93,88980,5579,488,64422.66,0.063,0.087,31.44,83,0.41,187.6
2024-03-12,Clearance,Influencer,France,Churn Risk,587.62,34655,6840,1297,191879.74,0.197,0.19,325.54,68,0.39,249.7
2024-03-13,Summer Sale,SEO,South Africa,New,2833.51,75101,13749,2949,704681.19,0.183,0.214,247.7,82,0.64,195.6
2024-03-14,Holiday Blast,Affiliate,India,New,1847.5,105878,18481,1091,39058.6,0.175,0.059,20.14,82,0.43,248.8
2024-03-15,Clearance,PPC Ads,France,Returning,3952.92,102841,12637,1594,387949.58,0.123,0.126,97.14,70,0.71,256.3
2024-03-16,Holiday Blast,PPC Ads,United States,Returning,2237.58,81879,5072,310,68274.07,0.062,0.061,29.51,81,0.69,299.9
2024-03-17,Referral Program,Affiliate,India,VIP,4386.31,185178,28907,6907,1498283.2,0.156,0.239,340.58,70,0.35,151.6
2024-03-18,Summer Sale,PPC Ads,Canada,Churn Risk,777.89,45243,5663,542,96353.59,0.125,0.096,122.87,74,0.57,126.7
2024-03-19,Holiday Blast,PPC Ads,South Africa,VIP,720.16,33748,3673,750,108326.98,0.109,0.204,149.42,74,0.71,179.0
2024-03-20,Holiday Blast,Email,China,Churn Risk,2375.47,130807,11335,870,31609.0,0.087,0.077,12.31,81,0.65,197.5
2024-03-21,New Launch,Email,Australia,VIP,2905.1,82849,2975,157,16819.29,0.036,0.053,4.79,92,0.55,135.9
2024-03-22,Referral Program,Affiliate,Mexico,New,1918.66,107764,8208,1254,253814.19,0.076,0.153,131.29,67,0.44,198.0
2024-03-23,New Launch,Social Media,Australia,New,3839.82,222635,8447,1987,274733.72,0.038,0.235,70.55,66,0.35,154.0
2024-03-24,Clearance,PPC Ads,South Africa,VIP,4318.73,171473,12425,2195,181816.32,0.072,0.177,41.1,87,0.25,64.8
2024-03-25,Clearance,Influencer,Germany,Churn Risk,773.77,20176,733,130,9101.77,0.036,0.177,10.76,96,0.41,272.1
2024-03-26,Holiday Blast,SEO,Canada,Churn Risk,2053.66,95910,4099,362,14114.78,0.043,0.088,5.87,60,0.3,105.2
2024-03-27,Clearance,Influencer,China,VIP,954.94,22487,740,105,7916.31,0.033,0.142,7.29,87,0.42,165.9
2024-03-28,Summer Sale,Affiliate,Mexico,VIP,2854.46,61577,9968,1750,83977.23,0.162,0.176,28.42,67,0.72,278.6
2024-03-29,New Launch,Influencer,Brazil,Churn Risk,525.99,16345,2667,532,37556.34,0.163,0.199,70.4,80,0.33,130.0
2024-03-30,Referral Program,Affiliate,Brazil,Returning,2302.01,102969,8247,1175,228471.24,0.08,0.142,98.25,72,0.22,98.2
2024-03-31,Referral Program,Affiliate,Italy,Returning,3233.33,180446,19347,3026,162126.55,0.107,0.156,49.14,99,0.47,173.8
2024-04-01,Clearance,SEO,Italy,New,1197.14,36835,3008,162,16338.9,0.082,0.054,12.65,79,0.33,118.4
2024-04-02,New Launch,Social Media,Spain,VIP,743.12,41333,5074,942,191807.85,0.123,0.186,257.11,89,0.5,53.5
2024-04-03,Referral Program,PPC Ads,China,Churn Risk,2287.29,99436,15077,2055,119329.05,0.152,0.136,51.17,70,0.37,128.0
2024-04-04,Summer Sale,SEO,Mexico,New,2689.89,115211,8947,2212,361154.26,0.078,0.247,133.26,75,0.34,57.5
2024-04-05,New Launch,Social Media,China,Returning,865.58,25827,1046,91,8437.61,0.041,0.087,8.75,61,0.3,272.1
2024-04-06,Summer Sale,Social Media,South Korea,New,656.55,26905,2366,583,31860.11,0.088,0.246,47.53,89,0.44,291.8
2024-04-07,Referral Program,Affiliate,China,Churn Risk,3852.61,202966,11975,1008,178518.32,0.059,0.084,45.34,91,0.76,180.3
2024-04-08,Referral Program,Social Media,France,New,2414.97,75345,11769,1028,104043.3,0.156,0.087,42.08,66,0.46,167.1
2024-04-09,Referral Program,Social Media,Japan,Churn Risk,1196.92,29436,3709,399,62991.09,0.126,0.108,51.63,63,0.29,159.9
